molecule_chembl_id,units,smiles,IC50_norm,pIC50,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3765050,nM,O=C(/C=C(O)/C=C/c1ccc(OCc2cc(F)cc(F)c2)cc1)/C=C/c1ccc(OCc2cc(F)cc(F)c2)cc1,390.0,6.4089353929735005,Intermediate,560.5430000000002,8.138600000000006,1.0,4.0
CHEMBL3653425,nM,COc1cc(Br)cnc1C(=O)Nc1ccc(F)c([C@]2(CF)COCC(N)=N2)c1,390.0,6.4089353929735005,Intermediate,455.25900000000024,2.7963000000000005,2.0,6.0
CHEMBL3747556,nM,Cc1ccc2[nH]c(N[C@H]3CN(C(=O)c4ccccc4)C[C@@H]3OC(=O)c3ccc(-c4ccccc4)cc3)nc2c1,390.0,6.4089353929735005,Intermediate,516.6010000000003,5.700420000000005,2.0,5.0
CHEMBL1270363,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(CF)CF)c2)CC1,390.0,6.4089353929735005,Intermediate,466.51900000000023,3.848500000000003,3.0,3.0
CHEMBL3654228,nM,NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](c3ccncn3)C[C@H]2CS1,390.0,6.4089353929735005,Intermediate,362.4050000000001,2.7894000000000014,1.0,6.0
CHEMBL5523420,nM,COc1cc2cc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)[nH]c2cc1OC,390.0,6.4089353929735005,Intermediate,421.5410000000001,4.217200000000004,2.0,4.0
CHEMBL589891,nM,NC1=NC(c2ccccc2)(C2CCCCC2)C(=O)N1C[C@H]1CC[C@H](C(=O)O)CC1,390.0,6.4089353929735005,Intermediate,397.5190000000002,3.510100000000002,2.0,4.0
CHEMBL2012004,nM,COc1cncc(-c2cccc(C3(C4CC4)NC(=N)N(C)C3=O)c2)c1,390.0,6.4089353929735005,Intermediate,336.39500000000004,2.3588700000000005,2.0,4.0
CHEMBL1821829,nM,CC(Cc1cc2cc(-c3ncccc3C#N)ccc2nc1N)C(=O)NCCC(C)(C)C,390.0,6.4089353929735005,Intermediate,415.5410000000002,4.4816800000000026,2.0,5.0
CHEMBL3670347,nM,C[C@@]1(c2cccc(NC(=O)c3ccc(Br)cn3)n2)COCC(N)=N1,390.0,6.4089353929735005,Intermediate,390.24100000000016,2.094,2.0,6.0
CHEMBL5842528,nM,CN1C(N)=N[C@](C)(c2cc(/C=C(\F)c3ncc4c(n3)OCCO4)ccc2F)CS1(=O)=O,392.0,6.406713932979542,Intermediate,451.4550000000002,1.6596000000000002,1.0,8.0
CHEMBL1257185,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cn(C34CC5CC(CC(C5)C3)C4)nn2)CCCCC1,392.0,6.406713932979542,Intermediate,541.6870000000002,4.338900000000003,3.0,6.0
